user,destination,review,sentiment,helpful_count,verified_traveler
user001,Shimla,Fantastic experience at Shimla. The cleanliness exceeded expectations.,positive,7,False
user001,Mumbai,Decent accommodation. The activities was okay but nothing special.,neutral,49,False
user001,Manali,Standard Manali visit. service was acceptable.,neutral,52,False
user001,Agra,Amazing accommodation! The activities was absolutely wonderful. Highly recommend for families.,positive,92,True
user001,Delhi,Overrated destination. scenery needs improvement.,negative,32,True
user001,Hampi,Expected better scenery considering the hype.,negative,11,True
user002,Udaipur,Beautiful culture and excellent cleanliness. Perfect for solo travelers.,positive,41,True
user002,Manali,Amazing scenery! The service was absolutely wonderful. Highly recommend for families.,positive,7,True
user002,Delhi,Fantastic experience at Delhi. The hospitality exceeded expectations.,positive,15,True
user002,Varanasi,Standard Varanasi visit. activities was acceptable.,neutral,25,True
user002,Shimla,Standard Shimla visit. views was acceptable.,neutral,56,True
user002,Kerala,Beautiful service and excellent cleanliness. Perfect for couples.,positive,99,True
user003,Delhi,Average experience. scenery could be better.,neutral,84,False
user003,Shimla,Overrated destination. attractions needs improvement.,negative,55,False
user003,Udaipur,Amazing cleanliness! The activities was absolutely wonderful. Highly recommend for couples.,positive,27,True
user003,Ooty,Standard Ooty visit. activities was acceptable.,neutral,61,True
user003,Agra,Average experience. food could be better.,neutral,47,True
user003,Varanasi,Disappointing cleanliness. The culture was not up to the mark.,negative,98,False
user003,Hampi,Amazing cleanliness! The service was absolutely wonderful. Highly recommend for couples.,positive,68,True
user003,Leh-Ladakh,Poor views and crowded attractions. Not recommended for solo travelers.,negative,4,True
user003,Darjeeling,Outstanding Darjeeling visit. cleanliness was incredible.,positive,70,True
user003,Kerala,Decent hospitality. The activities was okay but nothing special.,neutral,50,True
user003,Jaipur,Fantastic experience at Jaipur. The accommodation exceeded expectations.,positive,60,True
user003,Mumbai,Average experience. food could be better.,neutral,67,True
user004,Delhi,Standard Delhi visit. facilities was acceptable.,neutral,2,True
user004,Rishikesh,Amazing cleanliness! The service was absolutely wonderful. Highly recommend for adventure seekers.,positive,55,True
user004,Goa,Overrated destination. scenery needs improvement.,negative,62,True
user004,Jaipur,Amazing cleanliness! The ambiance was absolutely wonderful. Highly recommend for families.,positive,16,True
user004,Shimla,Amazing attractions! The ambiance was absolutely wonderful. Highly recommend for solo travelers.,positive,41,True
user004,Manali,Amazing accommodation! The views was absolutely wonderful. Highly recommend for families.,positive,81,False
user004,Kerala,Fantastic experience at Kerala. The attractions exceeded expectations.,positive,71,True
user004,Ooty,Overrated destination. accommodation needs improvement.,negative,57,False
user004,Agra,Standard Agra visit. ambiance was acceptable.,neutral,25,True
user004,Leh-Ladakh,Standard Leh-Ladakh visit. facilities was acceptable.,neutral,71,False
user004,Varanasi,Beautiful activities and excellent accommodation. Perfect for solo travelers.,positive,31,True
user005,Varanasi,Expected better scenery considering the hype.,negative,42,False
user005,Agra,Amazing food! The culture was absolutely wonderful. Highly recommend for families.,positive,53,True
user005,Manali,Beautiful views and excellent food. Perfect for adventure seekers.,positive,45,True
user005,Rishikesh,Outstanding Rishikesh visit. food was incredible.,positive,51,True
user005,Hampi,Standard Hampi visit. service was acceptable.,neutral,55,True
user005,Shimla,Average experience. cleanliness could be better.,neutral,54,True
user006,Kerala,Outstanding Kerala visit. cleanliness was incredible.,positive,86,True
user006,Manali,Standard Manali visit. ambiance was acceptable.,neutral,20,True
user006,Udaipur,Decent attractions. The culture was okay but nothing special.,neutral,9,False
user006,Mumbai,Amazing attractions! The activities was absolutely wonderful. Highly recommend for adventure seekers.,positive,58,True
user006,Darjeeling,Beautiful activities and excellent scenery. Perfect for couples.,positive,6,True
user006,Jaipur,Overrated destination. hospitality needs improvement.,negative,49,True
user007,Ooty,Overrated destination. scenery needs improvement.,negative,81,True
user007,Delhi,Disappointing food. The service was not up to the mark.,negative,88,True
user007,Leh-Ladakh,Beautiful ambiance and excellent scenery. Perfect for adventure seekers.,positive,85,True
user007,Goa,Decent cleanliness. The ambiance was okay but nothing special.,neutral,94,False
user007,Darjeeling,Decent scenery. The views was okay but nothing special.,neutral,20,False
